,geometry
170,36063990000
232,36063990000
408,26063990000
499,36063990000
502,36063990000
600,26001990000
677,36063990000
1039,36063990000
1558,36063990000
1585,36063990000
1651,26063990000
1666,26001990000
1715,26063990000
1959,36063990000
1976,36063990000
2114,26063990000
2199,26063990000
2273,26063990000
2352,26063990000
2458,26063990000
2484,36063990000
2501,26001990000
2530,36063990000
2734,26063990000
2747,26001990000
2963,36063990000
3061,26063990000
3082,36063990000
3106,36063990000
3153,26001990000
3438,36063990000
3441,36063990000
3475,26001990000
3488,26063990000
3618,36063990000
3750,26063990000
3947,36063990000
